round_epochs,loss,root_mean_squared_error,batch_size,dropout,epochs,losses,metric,optimizer,units_first_layer,units_second_layer
1,0.0030261394567787647,0.0550103560090065,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.004703969694674015,0.06858549267053604,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.0030532877426594496,0.05525656417012215,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.004901211243122816,0.07000865042209625,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.003041679272428155,0.05515142157673836,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.004930013325065374,0.07021405547857285,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.0033967727795243263,0.05828183889389038,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.005596890114247799,0.07481236755847931,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.0033779493533074856,0.05812012776732445,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.006061077583581209,0.07785291969776154,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.003697342937812209,0.060805778950452805,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.005741049535572529,0.07576971501111984,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.0034211110323667526,0.058490265160799026,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.005636205896735191,0.07507466524839401,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.003780743572860956,0.06148775294423103,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.006126596592366695,0.07827258110046387,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.003983297850936651,0.06311337649822235,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.006058897823095322,0.07783892005681992,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.004311752505600452,0.06566393375396729,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.005962748546153307,0.07721883803606033,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.0037256667856127024,0.061038240790367126,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.006904975976794958,0.08309618383646011,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.004284308757632971,0.0654546320438385,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.007272292859852314,0.0852777361869812,1,0.28,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.0044806650839746,0.06693776696920395,1,0.28,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.006713754031807184,0.08193749934434891,1,0.28,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.004341726191341877,0.06589177995920181,1,0.28,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.007187396753579378,0.08477851748466492,1,0.28,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.004780859686434269,0.06914376467466354,1,0.28,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.007148928474634886,0.08455133438110352,1,0.28,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.005045863334089518,0.07103423774242401,1,0.28,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.0075745913200080395,0.08703212440013885,1,0.32,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.004794565960764885,0.06924280524253845,1,0.32,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.007944826036691666,0.08913375437259674,1,0.32,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.004893979988992214,0.06995698809623718,1,0.32,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.007537033408880234,0.08681608736515045,1,0.32,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.005367272067815065,0.07326167076826096,1,0.32,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.0074837603606283665,0.08650872856378555,1,0.32,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.0053900727070868015,0.07341711223125458,1,0.32,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.008159978315234184,0.09033259749412537,1,0.36,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.005290740169584751,0.07273747771978378,1,0.36,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.009204772301018238,0.09594150632619858,1,0.36,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.005572847556322813,0.07465150952339172,1,0.36,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.009458915330469608,0.09725695848464966,1,0.36,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.005803257692605257,0.07617911696434021,1,0.36,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.00970964040607214,0.09853750467300415,1,0.36,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.0058869486674666405,0.07672645151615143,1,0.36,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.006021002307534218,0.07759511470794678,10,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.004852008074522018,0.0696563571691513,10,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.0023473536130040884,0.04844949394464493,10,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.0022871021647006273,0.04782365635037422,10,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.00401394534856081,0.0633557066321373,10,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.003990121651440859,0.06316741555929184,10,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
