round_epochs,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error,batch_size,dropout,optimizer,units_first_layer,units_second_layer
2,0.0005146844196133316,0.022686656564474106,0.02373514510691166,0.1540621519088745,1,0,Nadam,50,10
2,0.000346374319633469,0.018611134961247444,0.02856452390551567,0.16901043057441711,1,0,Nadam,50,25
2,0.00031550569110549986,0.017762480303645134,0.025782009586691856,0.1605677753686905,1,0,Nadam,100,10
2,0.0031385428737848997,0.05602269992232323,0.025418460369110107,0.15943168103694916,1,0,Nadam,100,25
2,0.0011500198161229491,0.033911943435668945,0.02685260958969593,0.16386765241622925,1,0,Adam,50,10
2,0.0011556022800505161,0.033994149416685104,0.028965938836336136,0.17019382119178772,1,0,Adam,50,25
2,0.0010479842312633991,0.03237258270382881,0.02835051156580448,0.1683761030435562,1,0,Adam,100,10
2,0.0016003065975382924,0.040003832429647446,0.028082188218832016,0.16757741570472717,1,0,Adam,100,25
2,0.0033285771496593952,0.05769382417201996,0.026965493336319923,0.16421173512935638,1,0.3,Nadam,50,10
2,0.004857214167714119,0.06969371438026428,0.027814390137791634,0.16677646338939667,1,0.3,Nadam,50,25
2,0.014507495798170567,0.1204470694065094,0.02744511142373085,0.1656656563282013,1,0.3,Nadam,100,10
2,0.0019241981208324432,0.04386568441987038,0.02851349115371704,0.16885937750339508,1,0.3,Nadam,100,25
2,0.0031388038769364357,0.056025028228759766,0.028325896710157394,0.1683029979467392,1,0.3,Adam,50,10
2,0.0023398934863507748,0.04837244376540184,0.028279587626457214,0.16816535592079163,1,0.3,Adam,50,25
2,0.002986068604514003,0.054644931107759476,0.028551753610372543,0.16897264122962952,1,0.3,Adam,100,10
2,0.0021982977632433176,0.046886008232831955,0.028788452968001366,0.16967160999774933,1,0.3,Adam,100,25
4,0.0006947112269699574,0.02635737508535385,0.008908209390938282,0.09438331425189972,10,0,Nadam,50,10
4,0.0008384580141864717,0.028956139460206032,0.010759955272078514,0.1037302017211914,10,0,Nadam,50,25
4,0.0008114086813293397,0.028485236689448357,0.008807246573269367,0.09384692460298538,10,0,Nadam,100,10
4,0.0010867331875488162,0.03296563774347305,0.012245678342878819,0.11066019535064697,10,0,Nadam,100,25
2,0.0028457236476242542,0.05334532633423805,0.016691992059350014,0.12919749319553375,10,0,Adam,50,10
2,0.004697144962847233,0.06853572279214859,0.01870715618133545,0.13677410781383514,10,0,Adam,50,25
2,0.0026829733978956938,0.051797427237033844,0.018369194120168686,0.13553300499916077,10,0,Adam,100,10
2,0.00343109923414886,0.0585755854845047,0.022777799516916275,0.15092316269874573,10,0,Adam,100,25
4,0.003960296045988798,0.0629308819770813,0.009933998808264732,0.099669449031353,10,0.3,Nadam,50,10
4,0.002732495777308941,0.052273280918598175,0.01068948209285736,0.10338994860649109,10,0.3,Nadam,50,25
4,0.004613407421857119,0.06792207062244415,0.011720015667378902,0.10825902223587036,10,0.3,Nadam,100,10
4,0.002866829978302121,0.053542785346508026,0.015182245522737503,0.12321625649929047,10,0.3,Nadam,100,25
2,0.008459145203232765,0.09197361022233963,0.01617398113012314,0.12717697024345398,10,0.3,Adam,50,10
2,0.005370900966227055,0.07328642904758453,0.01800045743584633,0.13416577875614166,10,0.3,Adam,50,25
2,0.008331533521413803,0.09127723425626755,0.020605608820915222,0.14354653656482697,10,0.3,Adam,100,10
2,0.006121551152318716,0.07824034243822098,0.020762355998158455,0.14409148693084717,10,0.3,Adam,100,25
