symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CAT,2010-01-28 00:00:00+00:00,51.86,53.825,51.2,53.82,15623100,38.5529680666,40.0137583144,38.0623209604,40.0100412908,15623100,0.0,1.0
CAT,2010-01-29 00:00:00+00:00,52.24,53.78,52.0,52.78,13962000,38.835461855,39.9803051026,38.6570447255,39.2369003963,13962000,0.0,1.0
CAT,2010-02-01 00:00:00+00:00,52.94,53.5,52.5,52.82,7159100,39.3558451493,39.7721517848,39.0287470786,39.2666365846,7159100,0.0,1.0
CAT,2010-02-02 00:00:00+00:00,53.55,53.72,52.62,53.48,7665400,39.8093220202,39.9357008202,39.1179556433,39.7572836907,7665400,0.0,1.0
CAT,2010-02-03 00:00:00+00:00,53.39,54.0,53.1,53.2,6340800,39.6903772672,40.143854138,39.4747899023,39.549130373,6340800,0.0,1.0
CAT,2010-02-04 00:00:00+00:00,51.4,52.86,51.38,52.8,11640200,38.2110019017,39.2963727728,38.1961338076,39.2517684905,11640200,0.0,1.0
CAT,2010-02-05 00:00:00+00:00,51.75,51.98,50.69,51.21,15988800,38.4711935489,38.6421766313,37.6831845603,38.0697550075,15988800,0.0,1.0
CAT,2010-02-08 00:00:00+00:00,50.78,52.15,50.5,51.64,8668700,37.7500909838,38.7685554314,37.5419376661,38.3894190312,8668700,0.0,1.0
CAT,2010-02-09 00:00:00+00:00,53.53,54.25,52.55,52.7,15494200,39.794453926,40.3297053145,39.0659173139,39.1774280198,15494200,0.0,1.0
CAT,2010-02-10 00:00:00+00:00,53.15,54.05,52.45,53.65,8581500,39.5119601377,40.1810243733,38.9915768433,39.8836624908,8581500,0.0,1.0
CAT,2010-02-11 00:00:00+00:00,56.15,56.27,52.67,53.1,16405500,41.7421742564,41.8313828212,39.1551258786,39.4747899023,16405500,0.0,1.0
CAT,2010-02-12 00:00:00+00:00,56.2,56.55,54.61,55.09,13447700,41.7793444917,42.0395361389,40.5973310088,40.9541652678,13447700,0.0,1.0
CAT,2010-02-16 00:00:00+00:00,57.12,57.24,56.19,56.77,7364200,42.4632768215,42.5524853863,41.7719104447,42.2030851743,7364200,0.0,1.0
CAT,2010-02-17 00:00:00+00:00,57.5,58.35,57.22,58.05,8450800,42.7457706099,43.3776646102,42.5376172921,43.1546431983,8450800,0.0,1.0
CAT,2010-02-18 00:00:00+00:00,57.81,58.05,56.85,57.15,6844000,42.9762260688,43.1546431983,42.2625575508,42.4855789627,6844000,0.0,1.0
CAT,2010-02-19 00:00:00+00:00,58.25,58.48,57.31,57.59,8005800,43.3033241396,43.474307222,42.6045237157,42.8126770334,8005800,0.0,1.0
CAT,2010-02-22 00:00:00+00:00,58.03,58.97,58.0,58.73,6994800,43.1397751042,43.8385755281,43.117472963,43.6601583986,6994800,0.0,1.0
CAT,2010-02-23 00:00:00+00:00,56.66,58.38,56.22,57.89,10311000,42.1213106566,43.3999667514,41.7942125859,43.0356984453,10311000,0.0,1.0
CAT,2010-02-24 00:00:00+00:00,56.96,57.46,56.46,56.67,5810100,42.3443320685,42.7160344216,41.9726297154,42.1287447037,5810100,0.0,1.0
CAT,2010-02-25 00:00:00+00:00,56.79,57.02,54.21,55.33,9965600,42.2179532684,42.3889363509,40.2999691263,41.1325823973,9965600,0.0,1.0
CAT,2010-02-26 00:00:00+00:00,57.05,57.24,56.1,56.94,6108500,42.4112384921,42.5524853863,41.7050040211,42.3294639744,6108500,0.0,1.0
CAT,2010-03-01 00:00:00+00:00,57.85,58.39,57.25,57.33,8398500,43.0059622571,43.4074007984,42.5599194333,42.6193918098,8398500,0.0,1.0
CAT,2010-03-02 00:00:00+00:00,58.15,58.82,58.02,58.28,6583600,43.2289836689,43.7270648221,43.1323410571,43.3256262808,6583600,0.0,1.0
CAT,2010-03-03 00:00:00+00:00,58.57,59.93,58.39,58.45,8833800,43.5412136456,44.5522440461,43.4074007984,43.4520050808,8833800,0.0,1.0
CAT,2010-03-04 00:00:00+00:00,58.45,59.0,57.81,58.57,6195600,43.4520050808,43.8608776693,42.9762260688,43.5412136456,6195600,0.0,1.0
CAT,2010-03-05 00:00:00+00:00,59.23,59.58,58.9,59.41,6626900,44.0318607517,44.2920523989,43.7865371986,44.1656735988,6626900,0.0,1.0
CAT,2010-03-08 00:00:00+00:00,58.91,59.49,58.5678,59.47,4755100,43.7939712457,44.2251459753,43.5395781552,44.2102778812,4755100,0.0,1.0
CAT,2010-03-09 00:00:00+00:00,59.18,59.72,58.4005,58.46,7692500,43.9946905164,44.3961290578,43.4152065479,43.4594391279,7692500,0.0,1.0
CAT,2010-03-10 00:00:00+00:00,58.78,59.5,58.43,59.11,6529900,43.6973286339,44.2325800224,43.4371369867,43.942652187,6529900,0.0,1.0
CAT,2010-03-11 00:00:00+00:00,58.9,58.98,57.92,58.79,6166500,43.7865371986,43.8460095751,43.0580005865,43.704762681,6166500,0.0,1.0
CAT,2010-03-12 00:00:00+00:00,60.36,60.49,59.35,59.53,9688800,44.8719080698,44.9685506816,44.1210693165,44.2548821636,9688800,0.0,1.0
CAT,2010-03-15 00:00:00+00:00,59.47,60.25,58.38,60.04,7906700,44.2102778812,44.7901335521,43.3999667514,44.6340185638,7906700,0.0,1.0
CAT,2010-03-16 00:00:00+00:00,59.45,59.68,58.84,59.65,7281000,44.1954097871,44.3663928695,43.7419329163,44.3440907283,7281000,0.0,1.0
CAT,2010-03-17 00:00:00+00:00,60.22,60.5,59.49,59.65,7925400,44.7678314109,44.9759847287,44.2251459753,44.3440907283,7925400,0.0,1.0
CAT,2010-03-18 00:00:00+00:00,59.77,60.39,59.335,59.61,7204200,44.4332992931,44.894210211,44.1099182459,44.3143545401,7204200,0.0,1.0
CAT,2010-03-19 00:00:00+00:00,59.37,60.31,58.95,60.11,9425500,44.1359374106,44.8347378345,43.823707434,44.6860568932,9425500,0.0,1.0
CAT,2010-03-22 00:00:00+00:00,59.95,60.27,58.66,58.7,7512500,44.5671121402,44.8050016462,43.6081200691,43.6378562574,7512500,0.0,1.0
CAT,2010-03-23 00:00:00+00:00,62.41,62.51,60.01,60.1,14315300,46.3958877176,46.4702281882,44.6117164226,44.6786228462,14315300,0.0,1.0
CAT,2010-03-24 00:00:00+00:00,62.06,62.54,61.42,61.96,11447400,46.1356960704,46.4925303294,45.6599170584,46.0613555998,11447400,0.0,1.0
CAT,2010-03-25 00:00:00+00:00,62.14,63.71,62.05,62.68,11361900,46.1951684469,47.3623138357,46.1282620234,46.5966069883,11361900,0.0,1.0
CAT,2010-03-26 00:00:00+00:00,62.44,63.18,61.99,62.4,7887300,46.4181898588,46.9683093414,46.083657741,46.3884536705,7887300,0.0,1.0
CAT,2010-03-29 00:00:00+00:00,63.48,63.6,62.76,62.76,6986500,47.1913307533,47.2805393181,46.6560793648,46.6560793648,6986500,0.0,1.0
CAT,2010-03-30 00:00:00+00:00,63.16,63.63,62.81,63.38,6183200,46.9534412473,47.3028414592,46.6932496001,47.1169902827,6183200,0.0,1.0
CAT,2010-03-31 00:00:00+00:00,62.85,63.5,62.63,62.76,6660800,46.7229857884,47.2061988474,46.559436753,46.6560793648,6660800,0.0,1.0
CAT,2010-04-01 00:00:00+00:00,63.99,64.2,63.29,63.29,7829300,47.5704671535,47.7265821418,47.0500838591,47.0500838591,7829300,0.0,1.0
CAT,2010-04-05 00:00:00+00:00,64.99,65.0,64.2,64.36,6695600,48.3138718598,48.3213059068,47.7265821418,47.8455268948,6695600,0.0,1.0
CAT,2010-04-06 00:00:00+00:00,65.29,65.47,64.57,64.81,6389000,48.5368932716,48.6707061188,48.0016418831,48.1800590126,6389000,0.0,1.0
CAT,2010-04-07 00:00:00+00:00,64.47,65.38,64.0,65.25,6973000,47.9273014125,48.6037996952,47.5779012006,48.5071570834,6973000,0.0,1.0
CAT,2010-04-08 00:00:00+00:00,64.48,64.65,63.55,64.05,5418000,47.9347354596,48.0611142596,47.2433690827,47.6150714359,5418000,0.0,1.0
CAT,2010-04-09 00:00:00+00:00,65.27,65.52,64.82,64.9,6022900,48.5220251775,48.7078763541,48.1874930597,48.2469654362,6022900,0.0,1.0
CAT,2010-04-12 00:00:00+00:00,66.73,67.0,65.76,65.93,11837000,49.6073960486,49.8081153193,48.8862934836,49.0126722836,11837000,0.0,1.0
CAT,2010-04-13 00:00:00+00:00,66.19,67.25,66.16,66.7,7001400,49.2059575073,49.9939664959,49.1836553661,49.5850939075,7001400,0.0,1.0
CAT,2010-04-14 00:00:00+00:00,67.28,67.37,66.2,66.37,5497400,50.0162686371,50.0831750607,49.2133915543,49.3397703544,5497400,0.0,1.0
CAT,2010-04-15 00:00:00+00:00,68.22,68.71,67.16,67.16,7129500,50.715069061,51.079337367,49.9270600723,49.9270600723,7129500,0.0,1.0
CAT,2010-04-16 00:00:00+00:00,66.88,68.23,66.34,68.05,10385300,49.7189067546,50.722503108,49.3174682132,50.5886902609,10385300,0.0,1.0
CAT,2010-04-19 00:00:00+00:00,66.99,67.7,65.77,66.6,7969400,49.8006812723,50.3284986137,48.8937275306,49.5107534368,7969400,0.0,1.0
CAT,2010-04-20 00:00:00+00:00,67.5,68.3,67.4,67.71,7695400,50.1798176725,50.7745414375,50.1054772018,50.3359326608,7695400,0.0,1.0
CAT,2010-04-21 00:00:00+00:00,67.33,67.92,66.7,67.74,6357500,50.0534388724,50.4920476491,49.5850939075,50.358234802,6357500,0.0,1.0
CAT,2010-04-22 00:00:00+00:00,67.51,67.65,65.97,66.67,8718700,50.4994816962,50.6042058472,49.3475160346,49.8711367898,8718700,0.42,1.0
CAT,2010-04-23 00:00:00+00:00,68.78,68.95,66.99,67.2,9044500,51.4494793521,51.5766443927,50.110506278,50.2675925045,9044500,0.0,1.0
CAT,2010-04-26 00:00:00+00:00,71.65,72.83,70.65,70.88,20131900,53.5963244487,54.4789994361,52.8482947983,53.0203416179,20131900,0.0,1.0
CAT,2010-04-27 00:00:00+00:00,68.53,71.58,68.28,71.25,14323100,51.2624719395,53.5439623731,51.0754645269,53.2971125885,14323100,0.0,1.0
CAT,2010-04-28 00:00:00+00:00,68.97,70.27,68.6,69.43,8232800,51.5916049857,52.5640435312,51.3148340151,51.9356986249,8232800,0.0,1.0
CAT,2010-04-29 00:00:00+00:00,70.75,70.76,69.62,69.96,7916800,52.9230977633,52.9305780598,52.0778242584,52.3321543396,7916800,0.0,1.0
CAT,2010-04-30 00:00:00+00:00,68.09,71.36,67.82,70.99,9428100,50.9333388934,53.3793958501,50.7313708878,53.1026248794,9428100,0.0,1.0
CAT,2010-05-03 00:00:00+00:00,69.94,70.16,68.09,68.37,7885900,52.3171937465,52.4817602696,50.9333388934,51.1427871955,7885900,0.0,1.0
CAT,2010-05-04 00:00:00+00:00,66.7,68.56,66.25,68.56,12558100,49.8935776794,51.284912829,49.5569643367,51.284912829,12558100,0.0,1.0
CAT,2010-05-05 00:00:00+00:00,65.96,67.44,64.08,65.86,11419500,49.3400357381,50.4471196206,47.9337399954,49.2652327731,11419500,0.0,1.0
CAT,2010-05-06 00:00:00+00:00,63.5,66.94,58.0,65.85,19363500,47.4998827982,50.0731047954,43.3857197212,49.2577524766,19363500,0.0,1.0
CAT,2010-05-07 00:00:00+00:00,62.1,64.45,60.64,63.05,15724700,46.4526412877,48.210510966,45.3605179981,47.1632694555,15724700,0.0,1.0
CAT,2010-05-10 00:00:00+00:00,66.69,67.0,65.19,65.88,11852100,49.8860973829,50.1179865745,48.7640529073,49.2801933661,11852100,0.0,1.0
CAT,2010-05-11 00:00:00+00:00,66.07,66.98,65.0,65.18,7481300,49.4223189996,50.1030259815,48.6219272737,48.7565726108,7481300,0.0,1.0
CAT,2010-05-12 00:00:00+00:00,68.15,68.3,66.6,66.66,7791600,50.9782206724,51.0904251199,49.8187747143,49.8636564933,7791600,0.0,1.0
CAT,2010-05-13 00:00:00+00:00,66.91,68.4,66.67,68.15,6531000,50.0506639059,51.165228085,49.8711367898,50.9782206724,6531000,0.0,1.0
CAT,2010-05-14 00:00:00+00:00,64.88,66.19,63.91,65.96,9938400,48.5321637157,49.5120825577,47.8065749548,49.3400357381,9938400,0.0,1.0
CAT,2010-05-17 00:00:00+00:00,63.78,65.74,61.99,65.01,11881200,47.7093311003,49.175469215,46.3703580261,48.6294075702,11881200,0.0,1.0
CAT,2010-05-18 00:00:00+00:00,63.19,65.53,62.8499,64.91,9594300,47.2679936066,49.0183829884,47.0135887225,48.5546046052,9594300,0.0,1.0
CAT,2010-05-19 00:00:00+00:00,61.44,63.17,59.28,62.94,18582700,45.9589417184,47.2530330136,44.3431976737,47.080986194,18582700,0.0,1.0
CAT,2010-05-20 00:00:00+00:00,58.67,60.41,58.0,59.07,22798500,43.8868995869,45.1884711786,43.3857197212,44.1861114471,22798500,0.0,1.0
CAT,2010-05-21 00:00:00+00:00,60.09,60.5,57.2,57.3,15889900,44.9491016904,45.2557938471,42.7872960009,42.8620989659,15889900,0.0,1.0
CAT,2010-05-24 00:00:00+00:00,59.22,61.11,59.09,60.06,11176700,44.2983158946,45.7120919338,44.2010720401,44.9266608009,11176700,0.0,1.0
CAT,2010-05-25 00:00:00+00:00,59.21,59.36,55.74,56.35,13793600,44.2908355981,44.4030400457,41.6951727114,42.1514707981,13793600,0.0,1.0
CAT,2010-05-26 00:00:00+00:00,59.73,61.4,59.25,59.63,11566900,44.6798110163,45.9290205324,44.3207567841,44.6050080513,11566900,0.0,1.0
CAT,2010-05-27 00:00:00+00:00,62.06,62.12,60.82,61.36,9555100,46.4227201017,46.4676018807,45.4951633352,45.8990993464,9555100,0.0,1.0
CAT,2010-05-28 00:00:00+00:00,60.76,62.42,60.05,62.42,7704900,45.4502815562,46.6920107758,44.9191805044,46.6920107758,7704900,0.0,1.0
CAT,2010-06-01 00:00:00+00:00,59.27,61.64,59.22,60.04,8340800,44.3357173771,46.1085476485,44.2983158946,44.9117002079,8340800,0.0,1.0
CAT,2010-06-02 00:00:00+00:00,60.86,60.9,59.28,59.9,9453500,45.5250845212,45.5550057072,44.3431976737,44.8069760569,9453500,0.0,1.0
CAT,2010-06-03 00:00:00+00:00,61.11,62.36,60.42,62.29,8982700,45.7120919338,46.6471289968,45.1959514751,46.5947669213,8982700,0.0,1.0
CAT,2010-06-04 00:00:00+00:00,57.76,60.2,57.36,59.49,10279600,43.2061926051,45.031384952,42.9069807449,44.5002839002,10279600,0.0,1.0
CAT,2010-06-07 00:00:00+00:00,55.83,58.28,55.8,58.01,8904600,41.7624953799,43.5951680233,41.7400544904,43.3932000177,8904600,0.0,1.0
CAT,2010-06-08 00:00:00+00:00,56.61,57.18,54.89,56.01,11604900,42.3459585072,42.7723354079,41.0593475085,41.897140717,11604900,0.0,1.0
CAT,2010-06-09 00:00:00+00:00,56.81,58.85,56.59,57.49,9749300,42.4955644372,44.021544924,42.3309979142,43.0042245995,9749300,0.0,1.0
CAT,2010-06-10 00:00:00+00:00,59.95,60.0,58.0,58.31,9704700,44.8443775394,44.8817790219,43.3857197212,43.6176089128,9704700,0.0,1.0
CAT,2010-06-11 00:00:00+00:00,60.23,60.24,58.99,59.22,7341400,45.0538258415,45.061306138,44.126269075,44.2983158946,7341400,0.0,1.0
CAT,2010-06-14 00:00:00+00:00,61.0,62.56,60.88,61.42,9783000,45.6298086723,46.7967349268,45.5400451142,45.9439811254,9783000,0.0,1.0
CAT,2010-06-15 00:00:00+00:00,63.46,63.56,61.5,61.8,11870300,47.4699616122,47.5447645772,46.0038234975,46.2282323926,11870300,0.0,1.0
