date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,Name
2010-01-04 00:00:00+00:00,MCD,62.78,63.07,62.31,62.63,5839300,45.742625347700006,45.9539245091,45.400174982799996,45.633332678100004,5839300,0.0,1.0,MCD
2010-01-05 00:00:00+00:00,MCD,62.3,62.75,62.19,62.66,7099000,45.392888804799995,45.720766813800005,45.312740847,45.655191212,7099000,0.0,1.0,MCD
2010-01-06 00:00:00+00:00,MCD,61.45,62.41,61.06,62.2,10551300,44.7735636766,45.4730367625,44.4894027355,45.320027025,10551300,0.0,1.0,MCD
2010-01-07 00:00:00+00:00,MCD,61.9,62.34,61.11,61.25,7517700,45.101441685699996,45.4220335167,44.5258336254,44.6278401171,7517700,0.0,1.0,MCD
2010-01-08 00:00:00+00:00,MCD,61.84,62.41,61.6,62.27,6107300,45.0577246178,45.4730367625,44.8828563463,45.3710302709,6107300,0.0,1.0,MCD
2010-01-11 00:00:00+00:00,MCD,62.32,62.43,61.85,62.02,6081300,45.407461160699995,45.4876091185,45.0650107958,45.1888758214,6081300,0.0,1.0,MCD
2010-01-12 00:00:00+00:00,MCD,62.66,62.66,62.0,62.03,7199400,45.655191212,45.655191212,45.1743034654,45.1961619994,7199400,0.0,1.0,MCD
2010-01-13 00:00:00+00:00,MCD,62.59,63.29,62.56,62.86,8623000,45.6041879662,46.1142204246,45.582329432200005,45.8009147716,8623000,0.0,1.0,MCD
2010-01-14 00:00:00+00:00,MCD,62.65,62.73,62.085,62.56,7095600,45.647905034,45.7061944579,45.2362359783,45.582329432200005,7095600,0.0,1.0,MCD
2010-01-15 00:00:00+00:00,MCD,62.28,62.98,62.0512,62.67,9429100,45.3783164488,45.88834890729999,45.2116086967,45.66247739,9429100,0.0,1.0,MCD
2010-01-19 00:00:00+00:00,MCD,63.48,63.82,62.77,62.9,8551500,46.2526578062,46.5003878575,45.73533916979999,45.8300594835,8551500,0.0,1.0,MCD
2010-01-20 00:00:00+00:00,MCD,63.01,63.6,62.75,63.49,6996800,45.9102074412,46.340091942,45.720766813800005,46.2599439842,6996800,0.0,1.0,MCD
2010-01-21 00:00:00+00:00,MCD,63.2,63.6,62.8,62.97,11724100,46.0486448228,46.340091942,45.7571977037,45.881062729300005,11724100,0.0,1.0,MCD
2010-01-22 00:00:00+00:00,MCD,63.39,64.78,62.81,63.23,15645900,46.1870822044,47.199860943400004,45.7644838817,46.0705033568,15645900,0.0,1.0,MCD
2010-01-25 00:00:00+00:00,MCD,63.09,63.6,62.92,63.34,6382200,45.9684968651,46.340091942,45.844631839399995,46.150651314499996,6382200,0.0,1.0,MCD
2010-01-26 00:00:00+00:00,MCD,63.81,64.0,62.75,62.75,9292700,46.4931016795,46.6315390611,45.720766813800005,45.720766813800005,9292700,0.0,1.0,MCD
2010-01-27 00:00:00+00:00,MCD,63.73,64.0,63.3,63.67,8080800,46.434812255699995,46.6315390611,46.1215066026,46.3910951878,8080800,0.0,1.0,MCD
2010-01-28 00:00:00+00:00,MCD,62.83,63.87,62.75,63.85,8560100,45.7790562376,46.5368187474,45.720766813800005,46.5222463914,8560100,0.0,1.0,MCD
2010-01-29 00:00:00+00:00,MCD,62.43,63.22,62.39,62.82,7589600,45.4876091185,46.0632171788,45.4584644066,45.7717700597,7589600,0.0,1.0,MCD
2010-02-01 00:00:00+00:00,MCD,63.89,63.97,62.83,62.83,8062700,46.5513911033,46.609680527200005,45.7790562376,45.7790562376,8062700,0.0,1.0,MCD
2010-02-02 00:00:00+00:00,MCD,64.03,64.05,63.35,63.87,7271400,46.653397595,46.667969951,46.1579374925,46.5368187474,7271400,0.0,1.0,MCD
2010-02-03 00:00:00+00:00,MCD,65.21,65.75,64.61,64.63,13695300,47.5131665965,47.906620207299994,47.0759959178,47.0905682737,13695300,0.0,1.0,MCD
2010-02-04 00:00:00+00:00,MCD,64.06,65.27,64.02,65.19,10868400,46.675256129,47.5568836643,46.6461114171,47.498594240500005,10868400,0.0,1.0,MCD
2010-02-05 00:00:00+00:00,MCD,63.37,64.3397,62.63,64.07,14007600,46.172509848500006,46.879050527,45.633332678100004,46.6825423069,14007600,0.0,1.0,MCD
2010-02-08 00:00:00+00:00,MCD,62.92,63.8,62.92,63.48,6975100,45.844631839399995,46.4858155015,45.844631839399995,46.2526578062,6975100,0.0,1.0,MCD
2010-02-09 00:00:00+00:00,MCD,63.57,63.85,62.77,63.15,10131500,46.318233408000005,46.5222463914,45.73533916979999,46.012213932899996,10131500,0.0,1.0,MCD
2010-02-10 00:00:00+00:00,MCD,63.25,63.83,62.97,63.535,6161300,46.085075712700004,46.5076740355,45.881062729300005,46.2927317851,6161300,0.0,1.0,MCD
2010-02-11 00:00:00+00:00,MCD,63.79,63.84,62.54,63.25,7478900,46.4785293236,46.5149602134,45.5677570763,46.085075712700004,7478900,0.0,1.0,MCD
2010-02-12 00:00:00+00:00,MCD,63.59,63.89,63.1895,63.21,6749800,46.332805764,46.5513911033,46.040994336000004,46.0559310008,6749800,0.0,1.0,MCD
2010-02-16 00:00:00+00:00,MCD,64.01,64.18,63.28,63.5,7090200,46.6388252391,46.762690264700005,46.1069342467,46.2672301622,7090200,0.0,1.0,MCD
2010-02-17 00:00:00+00:00,MCD,64.26,64.3501,63.77,64.21,5424600,46.8209796885,46.8866281521,46.463956967600005,46.7845487986,5424600,0.0,1.0,MCD
2010-02-18 00:00:00+00:00,MCD,64.48,64.62,64.0,64.11,4975800,46.9812756041,47.0832820958,46.6315390611,46.7116870189,4975800,0.0,1.0,MCD
2010-02-19 00:00:00+00:00,MCD,64.74,64.8926,64.3,64.46,5622600,47.170716231499995,47.2819033074,46.8501244004,46.9667032481,5622600,0.0,1.0,MCD
2010-02-22 00:00:00+00:00,MCD,64.77,64.93,64.63,64.93,4274900,47.192574765399996,47.3091536131,47.0905682737,47.3091536131,4274900,0.0,1.0,MCD
