symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CVX,2010-01-26 00:00:00+00:00,74.15,74.88,73.7,74.08,10558200,48.3608864171,48.8369949415,48.067394861,48.315232175,10558200,0.0,1.0
CVX,2010-01-27 00:00:00+00:00,73.7,74.36,73.13,73.94,13373200,48.067394861,48.4978491433,47.6956388899,48.2239236909,13373200,0.0,1.0
CVX,2010-01-28 00:00:00+00:00,73.24,74.18,72.32,73.97,12828800,47.7673812702,48.3804525208,47.1673540888,48.2434897946,12828800,0.0,1.0
CVX,2010-01-29 00:00:00+00:00,72.12,74.07,71.75,73.53,15265600,47.0369133972,48.3087101405,46.7955981177,47.9565202731,15265600,0.0,1.0
CVX,2010-02-01 00:00:00+00:00,73.58,73.74,72.14,72.7,11828500,47.989130446,48.0934829993,47.0499574663,47.4151914029,11828500,0.0,1.0
CVX,2010-02-02 00:00:00+00:00,74.45,74.58,73.0,73.74,12947600,48.5565474545,48.6413339041,47.6108524403,48.0934829993,12947600,0.0,1.0
CVX,2010-02-03 00:00:00+00:00,73.21,74.36,73.05,74.18,14540300,47.7478151665,48.4978491433,47.6434626132,48.3804525208,14540300,0.0,1.0
CVX,2010-02-04 00:00:00+00:00,71.37,72.83,71.06,72.56,15248400,46.5477608036,47.4999778524,46.3455777316,47.3238829187,15248400,0.0,1.0
CVX,2010-02-05 00:00:00+00:00,71.18,71.24,69.55,71.0,17307000,46.4238421466,46.4629743541,45.3607505099,46.3064455241,17307000,0.0,1.0
CVX,2010-02-08 00:00:00+00:00,70.13,71.45,70.13,71.24,11595600,45.7390285156,46.5999370803,45.7390285156,46.4629743541,11595600,0.0,1.0
CVX,2010-02-09 00:00:00+00:00,71.31,72.03,70.82,70.89,13051900,46.5086285961,46.978215086,46.1890489017,46.2347031437,13051900,0.0,1.0
CVX,2010-02-10 00:00:00+00:00,70.75,71.23,70.0,71.02,11618700,46.1433946596,46.4564523195,45.654242066,46.3194895933,11618700,0.0,1.0
CVX,2010-02-11 00:00:00+00:00,71.05,72.11,70.31,70.72,11273800,46.339055697,47.0303913626,45.856425138,46.1238285559,11273800,0.0,1.0
