round_epochs,loss,acc,batch_size,losses,metric,optimizer,units
1,0.0017336471937596798,0.0,1,mean_squared_error,acc,Adam,25
1,0.0010224436409771442,0.0,1,mean_squared_error,acc,Adam,50
